Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,-0.0,-0.0,24.064226,-12.605071,-0.0,-11.459155,-0.0,-0.0,24.064226,-12.605071,-0.0,0.0,-0.0,0.0,5.7295775,13.750985,-0.0,27.50197,-0.0,0.0,-0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0,-0.0039482,77.28952,0.0,0.0,0.0,-11.470703,0.0033977,-0.0013378,24.088787,-12.618082,-0.0036516,-11.47081,0.0033977,-0.0013378,24.089012,-12.618202,-0.0036516,0.0015299,-0.0011474,0.0009562,5.71111,13.757722,-0.0069524,27.513271,-0.0039107,-0.0021726,-0.0026071,5.7182803,-13.759242,0.0065179,27.508924,0.0039107,0.0017381,0.0021726
2,0.0,-0.0299099,77.27079,0.0,0.0,0.0,-11.546326,0.0257323,-0.0101712,24.249613,-12.703291,-0.0276695,-11.547129,0.0257321,-0.0101715,24.251322,-12.704195,-0.0276695,0.0115896,-0.0086922,0.0072435,5.589679,13.802008,-0.0526678,27.587559,-0.0296257,-0.0164587,-0.0197504,5.6439924,-13.81353,0.0493761,27.554644,0.0296257,0.013167,0.0164587
3,0.0,-0.0954548,77.22349,0.0,0.0,0.0,-11.734893,0.0820646,-0.0327503,24.650639,-12.915769,-0.0883583,-11.737413,0.0820634,-0.032754,24.656,-12.91861,-0.0883585,0.0369873,-0.0277405,0.0231171,5.283103,13.913817,-0.1680847,27.77511,-0.0945476,-0.0525265,-0.0630318,5.45644,-13.950587,0.1575794,27.670057,0.0945476,0.0420212,0.0525265
4,0.0,-0.2136392,77.1382,0.0,0.0,0.0,-12.066803,0.1834437,-0.0744432,25.356474,-13.28979,-0.1979732,-12.072294,0.1834379,-0.0744613,25.368156,-13.295981,-0.1979746,0.082782,-0.0620865,0.0517387,4.7303133,14.115424,-0.3761936,28.113287,-0.2116089,-0.1175605,-0.1410726,5.1182632,-14.197715,0.3526815,27.878166,0.2116089,0.0940484,0.1175605
5,0.0,-0.3933736,77.00849,0.0,0.0,0.0,-12.55324,0.3371646,-0.1401694,26.390816,-13.837989,-0.3651399,-12.562973,0.3371452,-0.1402285,26.411528,-13.848967,-0.3651447,0.1524263,-0.1143197,0.0952664,3.889634,14.422024,-0.6926846,28.627586,-0.3896351,-0.216464,-0.2597567,4.6039653,-14.57355,0.6493918,28.194658,0.3896351,0.1731712,0.216464
6,0.0,-0.6397898,76.830666,0.0,0.0,0.0,-13.188238,0.5470795,-0.2345784,27.740774,-14.553656,-0.595249,-13.20334,0.5470296,-0.2347278,27.772919,-14.570699,-0.595262,0.2479088,-0.1859316,0.154943,2.7370608,14.842375,-1.1265947,29.332687,-0.6337095,-0.3520608,-0.422473,3.8988616,-15.088818,1.0561825,28.628567,0.6337095,0.2816487,0.3520608
7,0.0,-0.9546092,76.60348,0.0,0.0,0.0,-13.953219,0.8139688,-0.361947,29.366447,-15.415798,-0.8908098,-13.974583,0.8138612,-0.3622627,29.411932,-15.439926,-0.8908398,0.3698966,-0.2774224,0.2311854,1.2645427,15.379411,-1.6809545,30.233522,-0.9455369,-0.5252982,-0.6303578,2.9980268,-15.74712,1.5758947,29.182928,0.9455369,0.4202386,0.5252982
8,0.0,-1.3365093,76.32788,0.0,0.0,0.0,-14.822357,1.1359501,-0.5258776,31.212294,-16.395151,-1.2517562,-14.850621,1.1357459,-0.5264636,31.272505,-16.427103,-1.2518172,0.5178771,-0.3884078,0.3236732,-0.5217358,16.030876,-2.3534358,31.326303,-1.3238076,-0.7354486,-0.8825384,1.9052448,-16.545692,2.2063458,29.855408,1.3238076,0.588359,0.7354486
9,0.0,-1.7814924,76.00676,0.0,0.0,0.0,-15.767225,1.5088983,-0.7289248,33.216988,-17.45936,-1.6757035,-15.802813,1.5085467,-0.7299109,33.292835,-17.499632,-1.6758163,0.6903014,-0.517726,0.4314384,-2.6030753,16.789953,-3.136999,32.599598,-1.7645618,-0.9803121,-1.1763746,0.6319546,-17.476171,2.9409363,30.63897,1.7645618,0.7842497,0.9803121
